ID;Family Name;Given Name;Name;Team;Region;ID2;Birthday;Popularity;Potential;Price;Type;Size;Weight;X;FLAT;MOUNTAIN;DOWNHILL;COBBLES;TT;PROLOGUE;SPRINT;ACCELERATION;ENDURANCE;RESISTANCE;RECUP;HILL;ATTACK;VAR1;VAR2;VAR3;VAR4;VAR5;VAR6;VAR7;VAR8;VAR9;VAR10;VAR11;VAR12;VAR13;VAR14;VAR15;VAR16;VAR17;VAR18;VAR19;VAR20;VAR21;VAR22;VAR23;VAR24;VAR25;VAR26;VAR27;VAR28;VAR29;VAR30;VAR31;VAR32;VAR33;VAR34;VAR35;VAR36;VAR37;VAR38;VAR39;VAR40;VAR41
111;Hollenstein;Reto;Hollenstein R.;Israel - Premier Tech;Suisse_Alemanique;rhollenstein;22/08/1985;13,75;3;FREE;0;197;80;ONWAAR;71;64;69;72;68;69;69;66;68;68;68;64;72;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;hollenstein_reto;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2012;0;5;2;2;4;7;4;5;2
126;Hermans;Ben;Hermans B.;Israel - Premier Tech;Vlaanderen;bhermans;6/08/1986;26;6;FREE;0;186;72;ONWAAR;72;74;75;63;72;73;66;72;73;72;66;73;71;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;hermans_ben;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;19;1;4;2;0;0;0;7;9
132;Frapporti;Marco;Frapporti M.;-;Lombardia;marfrapporti;30/03/1985;20;3;FREE;0;179;69;ONWAAR;73;65;66;61;64;64;68;71;65;66;72;68;76;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;frapporti_marco;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;4;0;7;0;8;1;0;0;7
136;Gilbert;Philippe;Gilbert P.;Lotto Soudal;Wallonie-Bruxelles;pgilbert;5/07/1982;82;5;FREE;0;178;75;ONWAAR;76;68;70;75;67;67;73;72;76;74;71;73;78;0;0;ONWAAR;WAAR;0;0;35;ONWAAR;;gilbert_philippe;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2003;78;11;4;9;17;11;4;16;12
139;Sánchez;Luis León;Sánchez L.L.;Bahrain Victorious;Region_de_Murcia;llsanchez;24/11/1983;68;6;FREE;0;186;73;ONWAAR;75;73;75;66;73;76;68;73;72;78;74;75;76;0;0;ONWAAR;ONWAAR;0;0;3;ONWAAR;;sanchez_luis-leon;ONWAAR;0;ONWAAR;0;0;National Road Championships - Spain | Paris - Nice | Santos Tour Down Under;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004;47;10;4;12;5;3;1;12;2
178;Taaramäe;Rein;Taaramäe R.;Intermarché - Wanty - Gobert Matériaux;EST;rtaaramae;24/04/1987;49;4;FREE;0;186;68;ONWAAR;70;73;69;60;65;68;59;67;66;69;65;72;72;0;0;ONWAAR;ONWAAR;0;0;66;ONWAAR;;taaramae_rein;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;19;8;2;5;0;0;0;7;3
188;Burghardt;Marcus;Burghardt M.;-;Sachsen;mburghardt;30/06/1983;48;4;FREE;0;189;75;ONWAAR;76;64;65;76;66;67;67;65;77;72;61;69;71;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;;burghardt_marcus;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;Chérel;Mikaël;Chérel M.;AG2R Citroën Team;Basse-Normandie;mcherel;17/03/1986;28;4;FREE;0;183;65;ONWAAR;73;72;68;60;59;60;67;69;68;70;74;72;71;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;cherel_mikael;ONWAAR;0;ONWAAR;0;0;Tour de France | Liège - Bastogne - Liège | Paris - Nice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2007;0;6;3;6;1;1;0;12;9
207;Buts;Vitaliy;Buts V.;Sakarya BB Pro Team;UKR;vbuts;24/10/1986;18;3;FREE;0;177;68;ONWAAR;66;65;64;57;62;63;63;65;63;65;66;68;63;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;;buts_vitaliy;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;Madrazo;Ángel;Madrazo Á.;Burgos - BH;Cantabria;amadrazo;30/07/1988;21;4;FREE;0;172;63;ONWAAR;68;72;70;65;60;62;63;70;65;67;70;73;77;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;madrazo_angel;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;3;0;0;5;3;0;2;2;3
228;Finetto;Mauro;Finetto M.;Maloja Pushbikers;Lombardia;mfinetto;10/05/1985;31;4;FREE;0;177;63;ONWAAR;67;68;72;60;65;65;69;69;71;68;64;74;68;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;finetto_mauro;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
257;Bodnar;Maciej;Bodnar M.;TotalEnergies;POL;mbodnar;7/03/1985;27;4;FREE;0;186;77;ONWAAR;75;64;67;71;75;76;60;62;70;67;70;67;73;0;0;ONWAAR;ONWAAR;0;0;64;ONWAAR;;bodnar_maciej;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2007;10;6;3;4;8;8;8;0;1
264;Boasson Hagen;Edvald;Boasson Hagen E.;TotalEnergies;NOR;eboassonhagen;17/05/1987;76;4;FREE;0;185;75;ONWAAR;74;63;73;70;72;73;73;72;73;72;71;72;74;0;0;ONWAAR;ONWAAR;0;0;3;ONWAAR;BoassonHagen;boasson-hagen_edvald;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;81;10;2;2;11;10;8;1;2
273;Fernández;Delio;Fernández D.;Atum General / Tavira / AP Maria Nova Hotel;Galicia;dfernandez;17/02/1986;4,150000095;3;FREE;0;178;68;ONWAAR;70;71;67;62;63;65;66;68;66;68;69;71;69;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;fernandez_delio;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Konovalovas;Ignatas;Konovalovas I.;Groupama - FDJ;LTU;ikonovalovas;8/12/1985;31;4;FREE;0;190;74;ONWAAR;74;64;70;70;65;69;58;62;67;70;70;70;68;0;0;ONWAAR;ONWAAR;0;0;131;ONWAAR;;konovalovas_ignatas;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;12;3;6;2;8;7;6;3;1
301;Froome;Chris;Froome C.;Israel - Premier Tech;GBR;cfroome;20/02/1985;84;5;FREE;0;186;66;ONWAAR;73;69;76;67;67;66;62;69;68;68;73;72;66;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;froome_chris;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;46;9;3;7;0;0;1;7;1
306;Impey;Daryl;Impey D.;Israel - Premier Tech;SAR;dimpey;6/12/1984;42;5;FREE;0;181;70;ONWAAR;74;71;72;64;73;73;73;74;70;73;68;75;75;0;0;ONWAAR;ONWAAR;0;0;3;ONWAAR;;impey_daryl;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;29;8;1;1;8;3;1;9;1
316;Livramento;David;Livramento D.;Atum General / Tavira / AP Maria Nova Hotel;Algarve;dlivramento;18/12/1983;0;2;FREE;0;182;65;ONWAAR;65;66;61;56;59;62;57;63;62;63;64;66;69;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;livramento_david;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
327;Hivert;Jonathan;Hivert J.;B&B HOTELS p/b KTM;Centre;jhivert;23/03/1985;29;4;FREE;0;170;64;ONWAAR;68;70;68;66;71;67;68;73;70;65;71;74;68;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;hivert_jonathan;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006;17;3;0;1;1;0;0;8;3
349;Maté;Luis Angel;Maté L.A.;Euskaltel - Euskadi;Madrid;lamate;23/03/1984;16;4;FREE;0;178;68;ONWAAR;67;71;67;64;64;63;66;69;67;69;74;70;75;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;mate_luis-angel;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;2;6;0;9;2;0;0;11;4
368;Keisse;Iljo;Keisse I.;Quick Step-Alpha Vinyl;Vlaanderen;ikeisse;21/12/1982;29;5;FREE;0;183;72;ONWAAR;74;62;67;72;73;66;69;68;71;64;67;62;70;0;0;ONWAAR;WAAR;0;0;0;ONWAAR;;keisse_iljo;ONWAAR;0;ONWAAR;0;0;Paris - Roubaix | Danilith - Nokere Koerse | National Road Championships - Belgium;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2005;5;1;6;1;2;7;8;0;0
387;Lemoine;Cyril;Lemoine C.;B&B HOTELS p/b KTM;Centre;clemoine;3/03/1983;22;4;FREE;0;182;73;ONWAAR;75;64;67;73;66;71;69;70;74;70;65;68;68;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;lemoine_cyril;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2005;0;6;0;3;6;10;12;0;0
410;Haussler;Heinrich;Haussler H.;Bahrain Victorious;AUS;hhaussler;25/02/1984;60;6;FREE;0;181;74;ONWAAR;75;60;69;76;64;65;73;73;77;70;64;69;70;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;;haussler_heinrich;ONWAAR;0;ONWAAR;0;0;Paris - Roubaix | Ronde van Vlaanderen | Milano - Sanremo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2004;22;5;2;5;12;13;14;1;1
421;Visconti;Giovanni;Visconti G.;Bardiani CSF Faizanè;Sicilia;gvisconti;13/01/1983;55;5;FREE;0;176;60;ONWAAR;70;73;72;67;62;66;70;72;70;68;70;73;76;0;0;ONWAAR;WAAR;0;0;2;ONWAAR;;visconti_giovanni;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2005;34;1;12;2;12;2;1;8;15
431;Nibali;Vincenzo;Nibali V.;Astana Qazaqstan Team;Sicilia;vnibali;14/11/1984;83;5;FREE;0;181;65;ONWAAR;73;76;82;71;72;73;65;68;75;73;77;76;74;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;Nibali;nibali_vincenzo;ONWAAR;0;ONWAAR;0;0;Giro d'Italia | Milano - Sanremo | Il Lombardia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2005;54;9;10;6;13;1;0;14;14
432;Amador;Andrey;Amador A.;INEOS Grenadiers;CRC;aamador;29/08/1986;16;5;FREE;0;181;73;ONWAAR;75;72;80;71;73;68;65;73;70;72;73;74;74;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;amador_andrey;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2;6;7;4;5;5;2;3;2
471;Ladagnous;Matthieu;Ladagnous M.;Groupama - FDJ;Aquitaine;mladagnous;12/12/1984;37;4;FREE;0;181;73;ONWAAR;72;65;69;70;67;71;68;70;70;67;66;70;74;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;ladagnous_matthieu;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006;11;8;2;4;9;10;10;2;6
505;Mihaylov;Nikolay;Mihaylov N.;-;BUL;nmihaylov;8/04/1988;0;3;FREE;0;183;70;ONWAAR;69;64;65;60;69;69;57;60;63;64;67;68;73;0;0;ONWAAR;ONWAAR;0;0;3;ONWAAR;;mihaylov_nikolay;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
509;Owsian;Lukasz;Owsian L.;Team Arkéa - Samsic;POL;lowsian;24/02/1990;0;3;FREE;0;181;66;ONWAAR;73;70;68;64;62;62;64;69;69;72;67;72;73;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;owsian_lukasz;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2012;0;0;3;0;0;0;0;1;3
536;Fuglsang;Jakob;Fuglsang J.;Israel - Premier Tech;Midtjylland;jfuglsang;22/03/1985;42;5;FREE;0;181;65;ONWAAR;73;77;76;70;72;69;69;66;76;73;72;78;72;0;0;ONWAAR;ONWAAR;0;0;1;ONWAAR;;fuglsang_jakob;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;26;10;2;4;0;1;0;11;8
566;Urán;Rigoberto;Urán R.;EF Education - EasyPost;COL;ruran;26/01/1987;74;5;FREE;0;173;63;ONWAAR;72;80;76;64;74;72;67;69;73;70;70;77;65;0;0;ONWAAR;ONWAAR;0;0;1;ONWAAR;;uran_rigoberto;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006;14;8;6;6;1;0;0;7;11
575;Bisolti;Alessandro;Bisolti A.;Drone Hopper - Androni Giocattoli;Lombardia;abisolti;7/03/1985;15;3;FREE;0;175;58;ONWAAR;65;68;68;53;61;64;64;64;64;64;66;67;67;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;bisolti_alessandro;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2007;0;0;4;0;0;0;0;0;5
576;Pozzovivo;Domenico;Pozzovivo D.;Intermarché - Wanty - Gobert Matériaux;Basilicata;dpozzovivo;30/11/1982;65;4;FREE;0;164;53;ONWAAR;67;77;72;70;72;73;64;74;75;67;70;75;72;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;pozzovivo_domenico;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
580;Simon;Julien;Simon J.;TotalEnergies;Bretagne;jsimon;4/10/1985;15;4;FREE;0;176;65;ONWAAR;70;68;70;59;66;72;68;73;73;72;68;74;71;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;simon_julien;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;10;7;0;2;3;0;0;8;1
586;Van Avermaet;Greg;Van Avermaet G.;AG2R Citroën Team;Vlaanderen;gvanavermaet;17/05/1985;72;5;FREE;0;181;74;ONWAAR;76;69;72;79;70;70;73;73;79;74;72;74;74;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;van-avermaet_greg;ONWAAR;0;ONWAAR;0;0;Ronde van Vlaanderen | UCI World Championships | Omloop Het Nieuwsblad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2007;41;9;0;3;14;14;11;7;5
603;Geschke;Simon;Geschke S.;Cofidis;Berlin;sgeschke;13/03/1986;50;4;FREE;0;171;64;ONWAAR;72;71;71;63;71;70;67;69;76;69;73;74;79;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;geschke_simon;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;3;9;3;4;5;0;0;10;8
656;Mørkøv;Michael;Mørkøv M.;Quick Step-Alpha Vinyl;Hovedstaden;mmorkov;30/04/1985;21;6;FREE;0;183;71;ONWAAR;78;61;69;67;63;66;77;73;72;78;76;69;68;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;;morkov_michael;ONWAAR;0;ONWAAR;0;0;Paris - Roubaix | Tour de France | PostNord Danmark Rundt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;5;6;3;4;6;6;6;0;0
659;Clarke;Simon;Clarke S.;Israel - Premier Tech;AUS;sclarke;18/07/1986;22,60000038;4;FREE;0;175;63;ONWAAR;73;73;76;74;68;67;68;77;76;73;69;75;74;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;clarke_simon;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;6;6;3;6;10;1;2;8;7
697;Rojas;José Joaquin;Rojas J.J.;Movistar Team;Region_de_Murcia;jjrojas;8/06/1985;52;5;FREE;0;177;70;ONWAAR;72;72;74;68;62;62;71;72;71;71;73;73;75;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;;rojas_jose-joaquin;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006;10;8;4;7;8;8;8;7;4
699;Schär;Michael;Schär M.;AG2R Citroën Team;Suisse_Alemanique;mschar;29/09/1986;8;4;FREE;0;198;78;ONWAAR;74;70;70;74;70;70;65;60;73;69;75;69;74;0;0;ONWAAR;ONWAAR;0;0;2;ONWAAR;;schar_michael;ONWAAR;0;ONWAAR;0;0;Paris - Roubaix | Omloop Het Nieuwsblad | Gent-Wevelgem in Flanders Fields;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2006;2;11;1;1;11;12;11;3;5
754;Poels;Wout;Poels W.;Bahrain Victorious;Limbourg;wpoels;1/10/1987;13;5;FREE;0;183;65;ONWAAR;68;77;74;67;72;70;67;76;71;72;75;77;74;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;poels_wout;ONWAAR;0;ONWAAR;0;0;La Flèche Wallonne | Liège - Bastogne - Liège | Tour de France;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;19;9;2;7;0;0;0;8;6
766;Meyer;Cameron;Meyer C.;Team BikeExchange Jayco;AUS;cmeyer;11/01/1988;13;4;FREE;0;181;70;ONWAAR;74;70;68;57;72;73;60;68;67;70;72;69;69;0;0;ONWAAR;ONWAAR;0;0;3;ONWAAR;;meyer_cameron;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;12;1;6;3;1;0;0;3;3
770;Bouet;Maxime;Bouet M.;Team Arkéa - Samsic;Rhone-Alpes;mbouet;3/11/1986;55;4;FREE;0;184;67;ONWAAR;71;72;70;55;69;68;67;71;68;71;71;71;71;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;bouet_maxime;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;5;8;2;4;3;0;0;6;3
780;Duarte;Fabio;Duarte F.;Team Medellin - EPM;COL;fduarte;11/06/1986;23;2;FREE;0;166;55;ONWAAR;65;66;66;54;66;66;63;67;64;65;70;67;70;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;duarte_fabio;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
783;Erviti;Imanol;Erviti I.;Movistar Team;Navarra;ierviti;15/11/1983;24;5;FREE;0;189;82;ONWAAR;76;70;71;70;66;63;69;68;75;70;76;69;76;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;erviti_imanol;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2005;3;12;1;14;5;16;16;10;5
788;Costa;Rui;Costa R.;UAE Team Emirates;Norte;rcosta;5/10/1986;71;5;FREE;0;183;69;ONWAAR;72;73;74;60;70;72;70;73;73;72;67;74;71;0;0;ONWAAR;ONWAAR;0;0;35;ONWAAR;;costa_rui;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2007;27;10;1;2;4;2;2;12;10
797;Swift;Ben;Swift B.;INEOS Grenadiers;GBR;bswift;5/11/1987;32;5;FREE;0;179;69;ONWAAR;73;72;73;69;69;70;73;74;76;73;75;72;70;0;0;ONWAAR;ONWAAR;0;0;128;ONWAAR;;swift_ben;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;15;2;3;2;7;2;0;1;4
802;Guarnieri;Jacopo;Guarnieri J.;Groupama - FDJ;Lombardia;jguarnieri;14/08/1987;25;4;FREE;0;190;80;ONWAAR;76;56;69;68;57;61;75;74;70;73;74;62;55;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;guarnieri_jacopo;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2008;4;5;2;3;8;9;9;0;1
803;Oss;Daniel;Oss D.;TotalEnergies;Trentino-Alto_Adige;doss;13/01/1987;29;4;FREE;0;190;75;ONWAAR;77;65;76;71;66;66;71;70;75;71;67;72;74;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;oss_daniel;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;2;8;3;1;9;11;10;0;0
815;Nieve;Mikel;Nieve M.;Caja Rural - Seguros RGA;Navarra;mnieve;26/05/1984;32;4;FREE;0;173;62;ONWAAR;66;75;72;68;63;65;59;67;72;73;76;75;73;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;nieve_mikel;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;5;6;6;8;0;0;0;3;9
845;Gautier;Cyril;Gautier C.;B&B HOTELS p/b KTM;Bretagne;cgautier;26/09/1987;30;4;FREE;0;168;64;ONWAAR;68;70;66;60;64;66;69;71;67;66;69;71;72;0;0;ONWAAR;ONWAAR;0;0;0;ONWAAR;;gautier_cyril;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;5;9;0;1;1;2;0;9;4
852;Brändle;Matthias;Brändle M.;Israel - Premier Tech;AUT;mbrandle;7/12/1989;20;5;FREE;0;190;80;ONWAAR;70;62;67;65;73;75;66;69;68;70;67;67;70;0;0;ONWAAR;ONWAAR;0;0;66;ONWAAR;;brandle_matthias;ONWAAR;0;ONWAAR;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2009;18;1;5;2;3;1;3;1;2
